363	462	69	34
358	460	66	32
352	460	65	31
345	460	66	31
339	459	66	30
332	459	66	31
327	458	66	30
322	459	66	29
316	458	66	30
311	458	66	29
306	457	67	31
300	455	67	31
295	456	66	31
291	454	66	31
286	457	67	30
281	456	68	29
277	457	67	29
273	456	67	28
269	455	67	29
264	455	67	28
260	455	68	28
256	454	68	28
253	454	68	28
248	454	68	28
245	453	68	28
242	452	68	29
240	452	67	30
236	451	67	29
232	452	67	29
228	451	67	29
226	452	67	28
223	452	67	29
219	452	68	28
216	452	67	28
212	451	68	29
207	451	68	28
205	451	67	29
201	450	68	29
198	450	68	29
194	450	68	28
191	450	67	29
187	450	68	29
183	449	72	30
179	449	67	29
171	451	68	28
164	451	69	28
161	451	69	28
157	452	69	27
153	451	69	27
149	452	69	27
146	450	69	28
142	450	70	29
139	450	69	29
135	450	69	29
132	450	69	29
128	450	69	28
124	449	69	29
120	448	70	29
117	448	69	29
113	448	70	30
110	448	69	30
107	447	69	30
106	448	67	29
103	448	69	29
102	445	68	31
99	444	69	32
97	444	70	31
95	444	70	29
97	444	69	29
96	444	70	29
101	443	68	28
102	440	69	30
106	440	68	29
107	439	69	28
111	439	68	28
113	437	69	28
114	436	69	28
116	434	69	29
116	436	69	28
117	433	68	29
116	432	68	30
117	433	67	30
115	433	68	29
116	433	67	29
116	434	68	28
117	433	69	28
117	433	69	28
117	433	70	28
117	433	70	28
117	433	69	28
116	432	70	28
117	432	68	28
118	433	68	28
119	432	68	29
122	432	68	28
124	432	68	28
124	431	69	28
128	431	67	28
129	431	68	27
130	431	68	28
132	430	67	29
135	429	67	30
137	430	68	29
138	431	68	29
140	431	67	29
141	432	68	28
143	433	67	27
143	434	68	27
146	433	67	28
149	434	67	28
151	434	67	28
153	435	68	28
157	435	66	28
158	436	68	28
162	437	67	28
165	439	67	27
168	439	66	27
171	440	67	27
174	440	67	27
178	442	68	27
183	442	66	27
185	443	68	27
189	444	67	27
193	445	67	27
198	445	66	27
203	445	66	27
206	446	68	28
212	446	66	28
216	447	67	29
221	448	67	29
225	449	69	29
229	449	68	29
233	452	69	28
236	452	68	28
238	454	68	28
241	455	68	29
243	458	68	28
245	459	68	29
247	460	68	29
249	461	68	28
251	463	68	29
252	464	68	28
255	464	68	30
256	467	68	29
257	468	68	29
258	468	68	30
259	469	68	32
261	471	68	30
262	472	68	31
263	474	68	31
264	474	68	31
265	475	69	31
265	478	70	31
266	479	69	30
270	480	67	31
272	481	66	31
270	483	69	31
271	483	68	32
271	485	69	31
273	486	68	32
274	487	69	32
275	487	69	33
