700	114	17	42
697	116	17	42
698	119	16	42
697	122	17	42
698	129	16	43
696	140	17	42
697	151	16	43
697	167	16	44
696	189	16	45
696	208	17	44
696	216	17	43
696	219	17	43
696	219	17	41
697	219	17	42
698	220	15	41
699	220	16	42
698	220	16	42
699	220	15	42
699	219	16	42
699	219	16	42
700	219	15	42
700	219	15	42
700	220	15	42
701	220	15	41
701	220	15	41
701	220	15	41
701	221	16	41
700	221	16	41
701	220	16	41
701	221	16	41
702	221	15	42
702	222	16	42
701	221	16	42
702	221	16	42
702	221	16	42
702	221	16	43
702	221	16	42
703	221	16	44
703	221	16	42
704	221	16	44
704	222	16	43
704	222	16	42
704	223	16	43
705	223	16	44
706	224	16	43
706	223	15	44
707	224	15	45
707	223	16	45
707	223	16	45
707	223	16	45
708	224	16	45
708	224	16	44
707	225	16	44
707	224	17	45
707	225	17	45
707	225	18	44
707	226	18	45
707	227	17	44
707	227	18	44
706	226	21	45
707	228	19	45
707	227	18	44
707	228	19	44
707	228	18	45
706	228	18	46
706	228	18	46
706	228	18	47
706	229	19	46
706	229	18	45
706	229	19	48
707	230	18	47
707	230	18	48
707	230	18	48
707	231	18	47
707	231	18	47
709	231	17	47
708	232	17	47
709	232	17	47
708	232	17	47
709	233	17	46
708	234	18	46
708	234	17	46
708	234	18	47
708	236	18	46
708	235	18	47
708	235	19	48
707	236	19	48
706	235	20	49
706	236	20	49
706	237	20	49
704	237	22	49
703	237	22	49
704	237	21	49
703	237	21	49
703	238	21	49
702	237	23	51
703	239	20	50
702	239	21	50
701	240	22	50
700	240	22	50
701	241	24	51
699	241	24	52
700	241	23	51
699	241	24	51
700	241	23	52
700	241	23	51
700	241	22	52
700	241	21	52
699	242	21	52
699	242	22	52
698	243	21	51
695	243	23	52
697	243	23	52
698	244	22	52
697	245	22	52
699	245	20	53
698	246	21	52
697	246	22	52
696	246	23	53
697	246	22	53
696	246	22	53
696	246	22	55
696	247	21	54
697	247	22	54
696	247	22	56
696	248	22	54
697	248	21	54
695	248	22	55
697	250	20	54
695	250	22	56
694	250	22	55
695	250	21	56
695	251	22	55
695	251	21	56
696	251	20	57
695	252	21	57
696	252	20	56
693	253	22	58
694	253	21	58
692	253	22	58
692	254	21	59
691	255	22	60
691	257	21	58
689	256	23	60
689	258	22	58
689	258	23	59
688	259	23	59
688	260	24	59
687	260	23	60
686	261	23	62
686	261	22	63
686	262	23	64
684	263	23	64
684	264	24	64
684	265	24	65
684	267	23	64
682	268	24	65
681	269	24	64
681	271	24	63
680	271	24	65
680	272	24	65
678	273	25	67
679	275	24	65
676	276	26	67
676	277	25	68
675	279	26	68
675	280	25	68
674	282	26	68
673	283	26	68
671	284	27	69
670	287	27	69
669	289	27	68
669	290	27	69
669	291	26	69
668	292	27	71
667	293	26	71
665	294	27	73
665	296	26	74
664	299	27	74
665	301	27	76
